ImageId,Label
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,15
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,15
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,5
107,5
108,1
109,1
110,1
111,1
112,5
113,5
114,5
115,5
116,5
117,5
118,12
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,5
158,5
159,5
160,5
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,5
183,5
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,13
260,13
261,13
262,13
263,13
264,13
265,13
266,13
267,13
268,13
269,6
270,6
271,13
272,5
273,18
274,6
275,13
276,13
277,13
278,13
279,13
